Platform_Order_ID,POS_Order_Ref,Order_Date,Platform_Name,Platform_Gross_SAR,Commission_Fee_SAR,VAT_15%_SAR,Net_Payout_SAR,Delivery_Status
REF-80090,POS-1090,2026-08-06,ToYou,61.82,9.27,1.39,51.16,Delivered
REF-80091,POS-1091,2026-08-06,Jahez,169.98000000000002,30.6,4.59,134.79,Delivered
REF-80092,POS-1092,2026-08-06,ToYou,156.09,23.41,3.51,129.17,Delivered
REF-80093,POS-1093,2026-08-06,ToYou,102.27,15.34,2.3,84.63,Delivered
REF-80094,POS-1094,2026-08-07,Jahez,128.15,23.07,3.46,101.62,Delivered
REF-80095,POS-1095,2026-08-07,ToYou,93.8,14.07,2.11,77.62,Delivered
REF-80096,POS-1096,2026-08-07,Chefz,168.42,37.05,5.56,125.81,Delivered
REF-80097,POS-1097,2026-08-07,Hungerstation,57.13,11.43,1.71,43.99,Delivered
REF-80098,POS-1098,2026-08-07,Hungerstation,41.09,8.22,1.23,31.64,Delivered
REF-80099,POS-1099,2026-08-07,Jahez,171.86,30.93,4.64,136.29,Delivered
REF-80100,POS-1100,2026-08-07,Ninja,80.8,9.7,1.45,54.650000000000006,Delivered
REF-80101,POS-1101,2026-08-07,Jahez,54.9,9.88,1.48,43.54,Delivered
REF-80102,POS-1102,2026-08-07,Ninja,123.32,14.8,2.22,106.3,Delivered
REF-80103,POS-1103,2026-08-07,Hungerstation,50.66,10.13,1.52,39.01,Delivered
REF-80104,POS-1104,2026-08-07,Jahez,226.19,40.71,6.11,179.37,Delivered
REF-80105,POS-1105,2026-08-07,Chefz,45.8,10.08,1.51,34.21,Delivered
REF-80106,POS-1106,2026-08-07,ToYou,161.56,24.23,3.63,133.7,Delivered
REF-80107,POS-1107,2026-08-07,Ninja,132.08,15.85,2.38,113.85,Delivered
REF-80108,POS-1108,2026-08-07,ToYou,181.13,27.17,4.08,149.88,Delivered
REF-80109,POS-1109,2026-08-07,ToYou,108.91,16.34,2.45,90.12,Delivered
REF-80110,POS-1110,2026-08-08,Jahez,72.56,13.06,1.96,57.54,Delivered
REF-80111,POS-1111,2026-08-08,ToYou,221.57,33.24,4.99,183.34,Delivered
REF-80112,POS-1112,2026-08-08,Chefz,216.18,47.56,7.13,161.49,Delivered
REF-80113,POS-1113,2026-08-08,ToYou,220.68,33.1,4.96,182.62,Delivered
REF-80114,POS-1114,2026-08-08,Jahez,83.28999999999999,14.99,2.25,66.05,Delivered
REF-80115,POS-1115,2026-08-08,Chefz,48.16,10.6,1.59,35.97,Delivered
REF-80116,POS-1116,2026-08-08,Hungerstation,93.32,18.66,2.8,71.86,Delivered
REF-80117,POS-1117,2026-08-08,ToYou,152.79,22.92,3.44,126.43,Delivered
REF-80118,POS-1118,2026-08-08,Jahez,108.6,19.55,2.93,86.12,Delivered
REF-80119,POS-1119,2026-08-08,Hungerstation,213.85,42.77,6.42,164.66,Delivered
REF-80120,POS-1120,2026-08-08,Hungerstation,87.32,17.46,2.62,67.24,Delivered
REF-80121,POS-1121,2026-08-08,Ninja,242.7,29.12,4.37,209.21,Delivered
REF-80122,POS-1122,2026-08-08,Chefz,122.43,26.93,4.04,91.46,Delivered
REF-80123,POS-1123,2026-08-08,ToYou,216.82,32.52,4.88,179.42,Delivered
REF-80124,POS-1124,2026-08-08,Jahez,72.74,13.09,1.96,57.69,Delivered
REF-80125,POS-1125,2026-08-08,Ninja,126.38,15.17,2.28,108.93,Delivered
REF-80126,POS-1126,2026-08-09,Chefz,168.21,37.01,5.55,125.65,Delivered
REF-80127,POS-1127,2026-08-09,Ninja,69.05,8.29,1.24,59.52,Delivered
REF-80128,POS-1128,2026-08-09,Chefz,67.88,14.93,2.24,50.71,Delivered
REF-80129,POS-1129,2026-08-09,Chefz,243.6,53.59,8.04,181.97,Delivered
REF-80130,POS-1130,2026-08-09,ToYou,190.06,28.51,4.28,157.27,Delivered
REF-80131,POS-1131,2026-08-09,Chefz,48.62,10.7,1.6,36.32,Delivered
REF-80132,POS-1132,2026-08-09,Ninja,123.75,14.85,2.23,106.67,Delivered
REF-80133,POS-1133,2026-08-09,Chefz,131.04,28.83,4.32,97.89,Delivered
REF-80134,POS-1134,2026-08-09,ToYou,196.25,29.44,4.42,162.39,Delivered
REF-80135,POS-1135,2026-08-09,ToYou,83.41000000000001,12.51,1.88,69.02,Delivered
REF-80136,POS-1136,2026-08-09,Ninja,70.83999999999999,8.5,1.27,61.07,Delivered
REF-80137,POS-1137,2026-08-09,Hungerstation,56.98,11.4,1.71,43.87,Delivered
REF-80138,POS-1138,2026-08-09,Hungerstation,116.94999999999999,23.39,3.51,90.05,Delivered
REF-80139,POS-1139,2026-08-09,Chefz,166.12,36.55,5.48,124.09,Delivered
REF-80140,POS-1140,2026-08-09,Jahez,52.22,9.4,1.41,41.41,Delivered
REF-80141,POS-1141,2026-08-10,Chefz,232.19,51.08,7.66,173.45,Delivered
REF-80142,POS-1142,2026-08-10,Ninja,132.89,15.95,2.39,114.55,Delivered
REF-80143,POS-1143,2026-08-10,Ninja,90.36,10.84,1.63,77.89,Delivered
REF-80144,POS-1144,2026-08-10,Ninja,59.71,7.17,1.08,51.46,Delivered
REF-80145,POS-1145,2026-08-10,Ninja,78.4,9.41,1.41,67.58,Delivered
REF-80146,POS-1146,2026-08-10,Ninja,212.64000000000001,25.52,3.83,183.29,Delivered
REF-80147,POS-1147,2026-08-10,ToYou,156.64,23.5,3.52,129.62,Delivered
REF-80148,POS-1148,2026-08-10,Hungerstation,148.51,29.7,4.46,114.35,Delivered
REF-80149,POS-1149,2026-08-10,Ninja,177.99,21.36,3.2,153.43,Delivered
REF-80150,POS-1150,2026-08-10,Jahez,131.49,23.67,3.55,104.27,Delivered
REF-80151,POS-1151,2026-08-10,Jahez,193.31,34.8,5.22,153.29,Delivered
REF-80152,POS-1152,2026-08-10,Jahez,50.02,9.0,1.35,39.67,Delivered
REF-80153,POS-1153,2026-08-10,Jahez,142.98000000000002,25.74,3.86,113.38,Delivered
REF-80154,POS-1154,2026-08-10,ToYou,73.32,11.0,1.65,60.67,Delivered
REF-80155,POS-1155,2026-08-10,Jahez,58.71000000000001,10.57,1.59,46.55,Delivered
REF-80156,POS-1156,2026-08-10,Ninja,100.61000000000001,12.07,1.81,86.73,Delivered
REF-80157,POS-1157,2026-08-11,Chefz,59.28,13.04,1.96,44.28,Delivered
REF-80158,POS-1158,2026-08-11,Jahez,53.790000000000006,9.68,1.45,42.66,Delivered
REF-80159,POS-1159,2026-08-11,ToYou,105.4,15.81,2.37,87.22,Delivered
REF-80160,POS-1160,2026-08-11,ToYou,245.7,36.85,5.53,203.32,Delivered
REF-80161,POS-1161,2026-08-11,Jahez,76.82,13.83,2.07,60.92,Delivered
REF-80162,POS-1162,2026-08-11,Chefz,39.24,8.63,1.29,29.32,Delivered
REF-80163,POS-1163,2026-08-11,Jahez,200.31,36.06,5.41,158.84,Delivered
REF-80164,POS-1164,2026-08-11,ToYou,188.51,28.28,4.24,155.99,Delivered
REF-80165,POS-1165,2026-08-11,Hungerstation,101.45,20.29,3.04,78.12,Delivered
REF-80166,POS-1166,2026-08-11,Ninja,137.58,16.51,2.48,118.59,Delivered
REF-80167,POS-1167,2026-08-11,ToYou,158.81,23.82,3.57,131.42,Delivered
REF-80168,POS-1168,2026-08-11,Jahez,50.09,9.02,1.35,39.72,Delivered
REF-80169,POS-1169,2026-08-11,Ninja,239.32,28.72,4.31,206.29,Delivered
REF-80170,POS-1170,2026-08-11,Jahez,226.2,40.72,6.11,179.37,Delivered
REF-80171,POS-1171,2026-08-11,Jahez,94.79,17.06,2.56,75.17,Delivered
REF-80172,POS-1172,2026-08-11,Hungerstation,38.89,7.78,1.17,29.94,Delivered
REF-80173,POS-1173,2026-08-12,Ninja,236.02,28.32,4.25,203.45,Delivered
REF-80174,POS-1174,2026-08-12,Ninja,145.22,17.43,2.61,125.18,Delivered
REF-80175,POS-1175,2026-08-12,Hungerstation,137.94,27.59,4.14,106.21,Delivered
REF-80176,POS-1176,2026-08-12,ToYou,183.63,27.54,4.13,151.96,Delivered
REF-80177,POS-1177,2026-08-12,Jahez,169.33,30.48,4.57,134.28,Delivered
REF-80178,POS-1178,2026-08-12,Chefz,238.22,52.41,7.86,177.95,Delivered
REF-80179,POS-1179,2026-08-12,Jahez,214.45999999999998,38.6,5.79,170.07,Delivered
REF-80180,POS-1180,2026-08-12,Jahez,222.11,39.98,6.0,176.13,Delivered
REF-80181,POS-1181,2026-08-12,ToYou,156.27999999999997,23.44,3.52,129.32,Delivered
REF-80182,POS-1182,2026-08-12,Jahez,187.38,33.73,5.06,148.59,Delivered
REF-80183,POS-1183,2026-08-12,Hungerstation,182.21,36.44,5.47,140.3,Delivered
REF-80184,POS-1184,2026-08-12,Hungerstation,160.41,32.08,4.81,123.52,Delivered
REF-80185,POS-1185,2026-08-12,Ninja,66.99,8.04,1.21,57.74,Delivered
REF-80186,POS-1186,2026-08-12,Chefz,210.35,46.28,6.94,157.13,Delivered
REF-80187,POS-1187,2026-08-12,Jahez,212.33,38.22,5.73,168.38,Delivered
REF-80188,POS-1188,2026-08-13,Jahez,171.45,30.86,4.63,135.96,Delivered
REF-80189,POS-1189,2026-08-13,ToYou,212.29,31.84,4.78,175.67,Delivered
REF-80190,POS-1190,2026-08-13,Hungerstation,176.81,35.36,5.3,136.15,Delivered
REF-80191,POS-1191,2026-08-13,Chefz,83.4,18.35,2.75,62.3,Delivered
REF-80192,POS-1192,2026-08-13,Ninja,97.53,11.7,1.76,84.07,Delivered
REF-80193,POS-1193,2026-08-13,Hungerstation,85.06,17.01,2.55,65.5,Delivered
REF-80194,POS-1194,2026-08-13,Ninja,119.22,14.31,2.15,102.76,Delivered
REF-80195,POS-1195,2026-08-13,ToYou,48.18,7.23,1.08,39.87,Delivered
REF-80196,POS-1196,2026-08-13,ToYou,169.83,25.47,3.82,140.54,Delivered
REF-80197,POS-1197,2026-08-13,Jahez,110.68,19.92,2.99,87.77,Delivered
REF-80198,POS-1198,2026-08-13,Chefz,159.92999999999998,35.18,5.28,119.47,Delivered
REF-80199,POS-1199,2026-08-13,Ninja,120.93,14.51,2.18,104.24,Delivered
REF-80200,POS-1200,2026-08-13,Hungerstation,164.82999999999998,32.97,4.95,126.91,Delivered
REF-80201,POS-1201,2026-08-13,ToYou,111.53,16.73,2.51,92.29,Delivered
REF-80202,POS-1202,2026-08-13,Jahez,94.75,17.06,2.56,75.13,Delivered
REF-80203,POS-1203,2026-08-13,Jahez,129.75,23.36,3.5,102.89,Delivered
REF-80204,POS-1204,2026-08-14,Ninja,185.51,22.26,3.34,159.91,Delivered
REF-80205,POS-1205,2026-08-14,ToYou,113.15,16.97,2.55,93.63,Delivered
REF-80206,POS-1206,2026-08-14,Chefz,236.7,52.07,7.81,176.82,Delivered
REF-80207,POS-1207,2026-08-14,ToYou,48.23,7.23,1.08,39.92,Delivered
REF-80208,POS-1208,2026-08-14,Ninja,127.77,15.33,2.3,110.14,Delivered
REF-80209,POS-1209,2026-08-14,Ninja,243.19,29.18,4.38,209.63,Delivered
REF-80210,POS-1210,2026-08-14,ToYou,139.56,20.93,3.14,115.49,Delivered
REF-80211,POS-1211,2026-08-14,Ninja,128.93,15.47,2.32,111.14,Delivered
REF-80212,POS-1212,2026-08-14,ToYou,159.39,23.91,3.59,131.89,Delivered
REF-80213,POS-1213,2026-08-14,Hungerstation,160.94,32.19,4.83,123.92,Delivered
REF-80214,POS-1214,2026-08-14,ToYou,193.65,29.05,4.36,160.24,Delivered
REF-80215,POS-1215,2026-08-14,ToYou,66.81,10.02,1.5,55.29,Delivered
REF-80216,POS-1216,2026-08-14,Ninja,92.5,11.1,1.66,79.74,Delivered
REF-80217,POS-1217,2026-08-14,Ninja,161.91,19.43,2.91,139.57,Delivered
REF-80218,POS-1218,2026-08-14,Jahez,222.09,39.98,6.0,176.11,Delivered
REF-80219,POS-1219,2026-08-15,Jahez,157.99,28.44,4.27,125.28,Delivered
