POS_Order_ID,Platform_Reference_ID,Order_Date,Platform_Name,Gross_Amount_SAR,Discount_SAR,Net_Sales_SAR,POS_Status
POS-1056,REF-80056,2026-08-04,Ninja,180.47,0.0,180.47,Completed
POS-1057,REF-80057,2026-08-04,Hungerstation,221.48,0.0,221.48,Completed
POS-1058,REF-80058,2026-08-04,Ninja,88.34,0.0,88.34,Completed
POS-1059,REF-80059,2026-08-04,Hungerstation,144.83,0.0,144.83,Completed
POS-1060,REF-80060,2026-08-04,Hungerstation,160.12,0.0,160.12,Completed
POS-1061,REF-80061,2026-08-04,Ninja,201.4,0.0,201.4,Completed
POS-1062,REF-80062,2026-08-04,Chefz,49.16,4.92,44.239999999999995,Completed
POS-1063,REF-80063,2026-08-05,Hungerstation,248.86,24.89,223.97000000000003,Completed
POS-1064,REF-80064,2026-08-05,Hungerstation,138.69,13.87,124.82,Completed
POS-1065,REF-80065,2026-08-05,Ninja,98.71,9.87,88.83999999999999,Completed
POS-1066,REF-80066,2026-08-05,Hungerstation,225.53,0.0,225.53,Completed
POS-1067,REF-80067,2026-08-05,Hungerstation,197.02,0.0,197.02,Completed
POS-1068,REF-80068,2026-08-05,Ninja,240.15,0.0,240.15,Completed
POS-1069,REF-80069,2026-08-05,Ninja,109.46,0.0,109.46,Completed
POS-1070,REF-80070,2026-08-05,Jahez,156.08,0.0,156.08,Completed
POS-1071,REF-80071,2026-08-05,Chefz,160.18,0.0,160.18,Completed
POS-1072,REF-80072,2026-08-05,Chefz,245.87,0.0,245.87,Completed
POS-1073,REF-80073,2026-08-05,Hungerstation,55.82,5.58,50.24,Completed
POS-1074,REF-80074,2026-08-05,Chefz,104.2,10.42,93.78,Completed
POS-1075,REF-80075,2026-08-05,Hungerstation,80.09,0.0,80.09,Completed
POS-1076,REF-80076,2026-08-05,Jahez,96.38,0.0,96.38,Completed
POS-1077,REF-80077,2026-08-05,Ninja,141.91,0.0,141.91,Completed
POS-1078,REF-80078,2026-08-05,Ninja,118.26,11.83,106.43,Completed
POS-1079,REF-80079,2026-08-06,Ninja,122.89,12.29,110.6,Completed
POS-1080,REF-80080,2026-08-06,Chefz,217.28,0.0,217.28,Completed
POS-1081,REF-80081,2026-08-06,Jahez,235.3,0.0,235.3,Completed
POS-1082,REF-80082,2026-08-06,Chefz,54.79,0.0,54.79,Completed
POS-1083,REF-80083,2026-08-06,Chefz,83.87,0.0,83.87,Completed
POS-1084,REF-80084,2026-08-06,Jahez,180.94,0.0,180.94,Completed
POS-1085,REF-80085,2026-08-06,Jahez,115.32,0.0,115.32,Completed
POS-1086,REF-80086,2026-08-06,Jahez,93.37,9.34,84.03,Completed
POS-1087,REF-80087,2026-08-06,Jahez,102.01,0.0,102.01,Completed
POS-1088,REF-80088,2026-08-06,Ninja,107.74,0.0,107.74,Completed
POS-1089,REF-80089,2026-08-06,ToYou,218.22,21.82,196.4,Completed
POS-1090,REF-80090,2026-08-06,ToYou,68.69,6.87,61.82,Completed
POS-1091,REF-80091,2026-08-06,Jahez,188.87,18.89,169.98000000000002,Completed
POS-1092,REF-80092,2026-08-06,ToYou,156.09,0.0,156.09,Completed
POS-1093,REF-80093,2026-08-06,ToYou,102.27,0.0,102.27,Completed
POS-1094,REF-80094,2026-08-07,Jahez,128.15,0.0,128.15,Completed
POS-1095,REF-80095,2026-08-07,ToYou,93.8,0.0,93.8,Completed
POS-1096,REF-80096,2026-08-07,Chefz,168.42,0.0,168.42,Completed
POS-1097,REF-80097,2026-08-07,Hungerstation,57.13,0.0,57.13,Completed
POS-1098,REF-80098,2026-08-07,Hungerstation,41.09,0.0,41.09,Completed
POS-1099,REF-80099,2026-08-07,Jahez,171.86,0.0,171.86,Completed
POS-1100,REF-80100,2026-08-07,Ninja,80.8,0.0,80.8,Completed
POS-1101,REF-80101,2026-08-07,Jahez,54.9,0.0,54.9,Completed
POS-1102,REF-80102,2026-08-07,Ninja,123.32,0.0,123.32,Completed
POS-1103,REF-80103,2026-08-07,Hungerstation,50.66,0.0,50.66,Completed
POS-1104,REF-80104,2026-08-07,Jahez,226.19,0.0,226.19,Completed
POS-1105,REF-80105,2026-08-07,Chefz,45.8,0.0,45.8,Completed
POS-1106,REF-80106,2026-08-07,ToYou,161.56,0.0,161.56,Completed
POS-1107,REF-80107,2026-08-07,Ninja,132.08,0.0,132.08,Completed
POS-1108,REF-80108,2026-08-07,ToYou,181.13,0.0,181.13,Completed
POS-1109,REF-80109,2026-08-07,ToYou,108.91,0.0,108.91,Completed
POS-1110,REF-80110,2026-08-08,Jahez,72.56,0.0,72.56,Completed
POS-1111,REF-80111,2026-08-08,ToYou,246.19,24.62,221.57,Completed
POS-1112,REF-80112,2026-08-08,Chefz,216.18,0.0,216.18,Completed
POS-1113,REF-80113,2026-08-08,ToYou,220.68,0.0,220.68,Completed
POS-1114,REF-80114,2026-08-08,Jahez,92.55,9.26,83.28999999999999,Completed
POS-1115,REF-80115,2026-08-08,Chefz,48.16,0.0,48.16,Completed
POS-1116,REF-80116,2026-08-08,Hungerstation,103.69,10.37,93.32,Completed
POS-1117,REF-80117,2026-08-08,ToYou,152.79,0.0,152.79,Completed
POS-1118,REF-80118,2026-08-08,Jahez,108.6,0.0,108.6,Completed
POS-1119,REF-80119,2026-08-08,Hungerstation,213.85,0.0,213.85,Completed
POS-1120,REF-80120,2026-08-08,Hungerstation,97.02,9.7,87.32,Completed
POS-1121,REF-80121,2026-08-08,Ninja,242.7,0.0,242.7,Completed
POS-1122,REF-80122,2026-08-08,Chefz,136.03,13.6,122.43,Completed
POS-1123,REF-80123,2026-08-08,ToYou,216.82,0.0,216.82,Completed
POS-1124,REF-80124,2026-08-08,Jahez,80.82,8.08,72.74,Completed
POS-1125,REF-80125,2026-08-08,Ninja,126.38,0.0,126.38,Completed
POS-1126,REF-80126,2026-08-09,Chefz,186.9,18.69,168.21,Completed
POS-1127,REF-80127,2026-08-09,Ninja,69.05,0.0,69.05,Completed
POS-1128,REF-80128,2026-08-09,Chefz,67.88,0.0,67.88,Completed
POS-1129,REF-80129,2026-08-09,Chefz,243.6,0.0,243.6,Completed
POS-1130,REF-80130,2026-08-09,ToYou,190.06,0.0,190.06,Completed
POS-1131,REF-80131,2026-08-09,Chefz,48.62,0.0,48.62,Completed
POS-1132,REF-80132,2026-08-09,Ninja,123.75,0.0,123.75,Completed
POS-1133,REF-80133,2026-08-09,Chefz,131.04,0.0,131.04,Completed
POS-1134,REF-80134,2026-08-09,ToYou,196.25,0.0,196.25,Completed
POS-1135,REF-80135,2026-08-09,ToYou,92.68,9.27,83.41000000000001,Completed
POS-1136,REF-80136,2026-08-09,Ninja,78.71,7.87,70.83999999999999,Completed
POS-1137,REF-80137,2026-08-09,Hungerstation,56.98,0.0,56.98,Completed
POS-1138,REF-80138,2026-08-09,Hungerstation,129.95,13.0,116.94999999999999,Completed
POS-1139,REF-80139,2026-08-09,Chefz,184.58,18.46,166.12,Completed
POS-1140,REF-80140,2026-08-09,Jahez,52.22,0.0,52.22,Completed
POS-1141,REF-80141,2026-08-10,Chefz,232.19,0.0,232.19,Completed
POS-1142,REF-80142,2026-08-10,Ninja,132.89,0.0,132.89,Completed
POS-1143,REF-80143,2026-08-10,Ninja,90.36,0.0,90.36,Completed
POS-1144,REF-80144,2026-08-10,Ninja,59.71,0.0,59.71,Completed
POS-1145,REF-80145,2026-08-10,Ninja,78.4,0.0,78.4,Completed
POS-1146,REF-80146,2026-08-10,Ninja,236.27,23.63,212.64000000000001,Completed
POS-1147,REF-80147,2026-08-10,ToYou,174.04,17.4,156.64,Completed
POS-1148,REF-80148,2026-08-10,Hungerstation,148.51,0.0,148.51,Completed
POS-1149,REF-80149,2026-08-10,Ninja,177.99,0.0,177.99,Completed
POS-1150,REF-80150,2026-08-10,Jahez,131.49,0.0,131.49,Completed
POS-1151,REF-80151,2026-08-10,Jahez,193.31,0.0,193.31,Completed
POS-1152,REF-80152,2026-08-10,Jahez,50.02,0.0,50.02,Completed
POS-1153,REF-80153,2026-08-10,Jahez,158.87,15.89,142.98000000000002,Completed
POS-1154,REF-80154,2026-08-10,ToYou,73.32,0.0,73.32,Completed
POS-1155,REF-80155,2026-08-10,Jahez,65.23,6.52,58.71000000000001,Completed
POS-1156,REF-80156,2026-08-10,Ninja,111.79,11.18,100.61000000000001,Completed
POS-1157,REF-80157,2026-08-11,Chefz,59.28,0.0,59.28,Completed
POS-1158,REF-80158,2026-08-11,Jahez,59.77,5.98,53.790000000000006,Completed
POS-1159,REF-80159,2026-08-11,ToYou,105.4,0.0,105.4,Completed
POS-1160,REF-80160,2026-08-11,ToYou,245.7,0.0,245.7,Completed
POS-1161,REF-80161,2026-08-11,Jahez,76.82,0.0,76.82,Completed
POS-1162,REF-80162,2026-08-11,Chefz,43.6,4.36,39.24,Completed
POS-1163,REF-80163,2026-08-11,Jahez,200.31,0.0,200.31,Completed
POS-1164,REF-80164,2026-08-11,ToYou,209.45,20.94,188.51,Completed
POS-1165,REF-80165,2026-08-11,Hungerstation,112.72,11.27,101.45,Completed
POS-1166,REF-80166,2026-08-11,Ninja,137.58,0.0,137.58,Completed
POS-1167,REF-80167,2026-08-11,ToYou,176.45,17.64,158.81,Completed
POS-1168,REF-80168,2026-08-11,Jahez,50.09,0.0,50.09,Completed
POS-1169,REF-80169,2026-08-11,Ninja,239.32,0.0,239.32,Completed
POS-1170,REF-80170,2026-08-11,Jahez,226.2,0.0,226.2,Completed
POS-1171,REF-80171,2026-08-11,Jahez,94.79,0.0,94.79,Completed
POS-1172,REF-80172,2026-08-11,Hungerstation,43.21,4.32,38.89,Completed
POS-1173,REF-80173,2026-08-12,Ninja,236.02,0.0,236.02,Completed
POS-1174,REF-80174,2026-08-12,Ninja,145.22,0.0,145.22,Completed
POS-1175,REF-80175,2026-08-12,Hungerstation,153.27,15.33,137.94,Completed
POS-1176,REF-80176,2026-08-12,ToYou,183.63,0.0,183.63,Completed
POS-1177,REF-80177,2026-08-12,Jahez,169.33,0.0,169.33,Completed
POS-1178,REF-80178,2026-08-12,Chefz,238.22,0.0,238.22,Completed
POS-1179,REF-80179,2026-08-12,Jahez,238.29,23.83,214.45999999999998,Completed
POS-1180,REF-80180,2026-08-12,Jahez,222.11,0.0,222.11,Completed
POS-1181,REF-80181,2026-08-12,ToYou,173.64,17.36,156.27999999999997,Completed
POS-1182,REF-80182,2026-08-12,Jahez,208.2,20.82,187.38,Completed
POS-1183,REF-80183,2026-08-12,Hungerstation,182.21,0.0,182.21,Completed
POS-1184,REF-80184,2026-08-12,Hungerstation,160.41,0.0,160.41,Completed
POS-1185,REF-80185,2026-08-12,Ninja,66.99,0.0,66.99,Completed
POS-1186,REF-80186,2026-08-12,Chefz,210.35,0.0,210.35,Completed
POS-1187,REF-80187,2026-08-12,Jahez,212.33,0.0,212.33,Completed
POS-1188,REF-80188,2026-08-13,Jahez,171.45,0.0,171.45,Completed
POS-1189,REF-80189,2026-08-13,ToYou,212.29,0.0,212.29,Completed
POS-1190,REF-80190,2026-08-13,Hungerstation,176.81,0.0,176.81,Completed
POS-1191,REF-80191,2026-08-13,Chefz,83.4,0.0,83.4,Completed
POS-1192,REF-80192,2026-08-13,Ninja,97.53,0.0,97.53,Completed
POS-1193,REF-80193,2026-08-13,Hungerstation,85.06,0.0,85.06,Completed
POS-1194,REF-80194,2026-08-13,Ninja,119.22,0.0,119.22,Completed
POS-1195,REF-80195,2026-08-13,ToYou,48.18,0.0,48.18,Completed
POS-1196,REF-80196,2026-08-13,ToYou,169.83,0.0,169.83,Completed
POS-1197,REF-80197,2026-08-13,Jahez,110.68,0.0,110.68,Completed
POS-1198,REF-80198,2026-08-13,Chefz,177.7,17.77,159.92999999999998,Completed
POS-1199,REF-80199,2026-08-13,Ninja,120.93,0.0,120.93,Completed
POS-1200,REF-80200,2026-08-13,Hungerstation,183.14,18.31,164.82999999999998,Completed
POS-1201,REF-80201,2026-08-13,ToYou,111.53,0.0,111.53,Completed
POS-1202,REF-80202,2026-08-13,Jahez,94.75,0.0,94.75,Completed
POS-1203,REF-80203,2026-08-13,Jahez,144.17,14.42,129.75,Completed
POS-1204,REF-80204,2026-08-14,Ninja,185.51,0.0,185.51,Completed
POS-1205,REF-80205,2026-08-14,ToYou,113.15,0.0,113.15,Completed
POS-1206,REF-80206,2026-08-14,Chefz,236.7,0.0,236.7,Completed
POS-1207,REF-80207,2026-08-14,ToYou,48.23,0.0,48.23,Completed
POS-1208,REF-80208,2026-08-14,Ninja,127.77,0.0,127.77,Completed
POS-1209,REF-80209,2026-08-14,Ninja,243.19,0.0,243.19,Completed
POS-1210,REF-80210,2026-08-14,ToYou,155.07,15.51,139.56,Completed
POS-1211,REF-80211,2026-08-14,Ninja,128.93,0.0,128.93,Completed
POS-1212,REF-80212,2026-08-14,ToYou,159.39,0.0,159.39,Completed
POS-1213,REF-80213,2026-08-14,Hungerstation,160.94,0.0,160.94,Completed
POS-1214,REF-80214,2026-08-14,ToYou,193.65,0.0,193.65,Completed
POS-1215,REF-80215,2026-08-14,ToYou,66.81,0.0,66.81,Completed
POS-1216,REF-80216,2026-08-14,Ninja,92.5,0.0,92.5,Completed
POS-1217,REF-80217,2026-08-14,Ninja,161.91,0.0,161.91,Completed
POS-1218,REF-80218,2026-08-14,Jahez,222.09,0.0,222.09,Completed
POS-1219,REF-80219,2026-08-15,Jahez,157.99,0.0,157.99,Completed
